,address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,name,number,position,status
0,Smithfield North,0,30,True,30,False,Dublin,1457386090000,SMITHFIELD NORTH,42,"{'lat': 53.349562, 'lng': -6.278198}",OPEN
1,Parnell Square North,20,0,True,20,False,Dublin,1457385919000,PARNELL SQUARE NORTH,30,"{'lat': 53.353462, 'lng': -6.265305}",OPEN
2,Pearse Street,30,0,True,30,False,Dublin,1457385927000,PEARSE STREET,32,"{'lat': 53.344304, 'lng': -6.250427}",OPEN
3,Excise Walk,27,13,False,40,False,Dublin,1457386468000,EXCISE WALK,48,"{'lat': 53.347777, 'lng': -6.244239}",OPEN
4,Fitzwilliam Square West,30,0,False,30,False,Dublin,1457386011000,FITZWILLIAM SQUARE WEST,13,"{'lat': 53.336073999999996, 'lng': -6.252825}",OPEN
5,St. James Hospital (Central),17,23,False,40,False,Dublin,1457386063000,ST. JAMES HOSPITAL (CENTRAL),81,"{'lat': 53.339983, 'lng': -6.295594}",OPEN
6,Hanover Quay,30,10,True,40,False,Dublin,1457386170000,HANOVER QUAY,68,"{'lat': 53.344115, 'lng': -6.237153}",OPEN
7,Oliver Bond Street,19,11,False,30,False,Dublin,1457386104000,OLIVER BOND STREET,74,"{'lat': 53.343893, 'lng': -6.280531}",OPEN
8,Collins Barracks Museum,0,38,True,38,False,Dublin,1457386329000,COLLINS BARRACKS MUSEUM,87,"{'lat': 53.347477, 'lng': -6.28525}",OPEN
9,Brookfield Road,0,30,False,30,False,Dublin,1457386310000,BROOKFIELD ROAD,84,"{'lat': 53.339005, 'lng': -6.300217}",OPEN
10,Clonmel Street,32,1,False,33,False,Dublin,1457386415000,CLONMEL STREET,54,"{'lat': 53.336021, 'lng': -6.26298}",OPEN
11,James Street East,30,0,False,30,False,Dublin,1457385983000,JAMES STREET EAST,20,"{'lat': 53.336485, 'lng': -6.248174}",OPEN
12,Mount Street Lower,37,3,False,40,False,Dublin,1457386276000,MOUNT STREET LOWER,56,"{'lat': 53.33796, 'lng': -6.24153}",OPEN
13,Christchurch Place,20,0,False,20,False,Dublin,1457386328000,CHRISTCHURCH PLACE,6,"{'lat': 53.343368, 'lng': -6.27012}",OPEN
14,Grantham Street,25,5,True,30,False,Dublin,1457386362000,GRANTHAM STREET,18,"{'lat': 53.334123, 'lng': -6.265436}",OPEN
15,York Street East,31,1,False,32,False,Dublin,1457386037000,YORK STREET EAST,52,"{'lat': 53.338755, 'lng': -6.262003}",OPEN
16,Portobello Road,1,29,True,30,False,Dublin,1457386169000,PORTOBELLO ROAD,43,"{'lat': 53.330091, 'lng': -6.268044}",OPEN
17,Parnell Street,20,0,False,20,False,Dublin,1457385994000,PARNELL STREET,31,"{'lat': 53.350929, 'lng': -6.265125}",OPEN
18,Frederick Street South,38,2,True,40,False,Dublin,1457386034000,FREDERICK STREET SOUTH,98,"{'lat': 53.341515, 'lng': -6.2568529999999996}",OPEN
19,Fownes Street Upper,30,0,False,30,False,Dublin,1457386377000,FOWNES STREET UPPER,14,"{'lat': 53.344603, 'lng': -6.263371}",OPEN
20,Chatham Street,29,0,False,29,False,Dublin,1457386097000,CHATHAM STREET,1,"{'lat': 53.340962, 'lng': -6.262287}",OPEN
21,Custom House,9,21,True,30,False,Dublin,1457386063000,CUSTOM HOUSE,23,"{'lat': 53.348279, 'lng': -6.254662}",OPEN
22,Benson Street,37,3,False,40,False,Dublin,1457386159000,BENSON STREET,90,"{'lat': 53.344153, 'lng': -6.233451}",OPEN
23,Fenian Street,32,3,False,35,False,Dublin,1457386094000,FENIAN STREET,63,"{'lat': 53.341428, 'lng': -6.24672}",OPEN
24,South Dock Road,4,26,False,30,False,Dublin,1457386388000,SOUTH DOCK ROAD,91,"{'lat': 53.341833, 'lng': -6.231291}",OPEN
25,The Point,11,29,True,40,False,Dublin,1457386065000,THE POINT,67,"{'lat': 53.346867, 'lng': -6.230852}",OPEN
26,Lime Street,39,1,False,40,False,Dublin,1457386291000,LIME STREET,62,"{'lat': 53.346026, 'lng': -6.243576}",OPEN
27,Kilmainham Gaol,0,40,True,40,False,Dublin,1457385920000,KILMAINHAM GAOL,97,"{'lat': 53.342113, 'lng': -6.310015}",OPEN
28,Guild Street,30,10,False,40,False,Dublin,1457386268000,GUILD STREET,49,"{'lat': 53.347932, 'lng': -6.240928}",OPEN
29,Herbert Place,30,0,False,30,False,Dublin,1457386451000,HERBERT PLACE,19,"{'lat': 53.334432, 'lng': -6.245575}",OPEN
30,Western Way,14,26,False,40,False,Dublin,1457386370000,WESTERN WAY,102,"{'lat': 53.354929, 'lng': -6.269425}",OPEN
31,Newman House,40,0,False,40,False,Dublin,1457386170000,NEWMAN HOUSE,53,"{'lat': 53.337132, 'lng': -6.26059}",OPEN
32,King Street North,0,30,False,30,False,Dublin,1457386231000,KING STREET NORTH,101,"{'lat': 53.350291, 'lng': -6.273507}",OPEN
33,Herbert Street,40,0,False,40,False,Dublin,1457386454000,HERBERT STREET,47,"{'lat': 53.335742, 'lng': -6.24551}",OPEN
34,Earlsfort Terrace,30,0,False,30,False,Dublin,1457386416000,EARLSFORT TERRACE,11,"{'lat': 53.334019, 'lng': -6.258371}",OPEN
35,Golden Lane,19,1,False,20,False,Dublin,1457386432000,GOLDEN LANE,17,"{'lat': 53.340803, 'lng': -6.267732}",OPEN
36,Deverell Place,0,29,False,30,False,Dublin,1457386454000,DEVERELL PLACE,45,"{'lat': 53.351464, 'lng': -6.255265}",OPEN
37,John Street West,18,13,False,31,False,Dublin,1457385916000,JOHN STREET WEST,72,"{'lat': 53.343105, 'lng': -6.277167}",OPEN
38,City Quay,28,2,False,30,False,Dublin,1457386362000,CITY QUAY,99,"{'lat': 53.346637, 'lng': -6.246154}",OPEN
39,Exchequer Street,12,12,False,24,False,Dublin,1457386433000,EXCHEQUER STREET,9,"{'lat': 53.343034, 'lng': -6.263578}",OPEN
40,Hatch Street,36,0,False,36,False,Dublin,1457386222000,HATCH STREET,55,"{'lat': 53.33403, 'lng': -6.260714}",OPEN
41,Charlemont Street,18,21,False,40,False,Dublin,1457386398000,CHARLEMONT PLACE,5,"{'lat': 53.330662, 'lng': -6.260177}",OPEN
42,Hardwicke Place,11,14,True,25,False,Dublin,1457386294000,HARDWICKE PLACE,61,"{'lat': 53.357043, 'lng': -6.263232}",OPEN
43,Wolfe Tone Street,22,7,False,29,False,Dublin,1457386355000,WOLFE TONE STREET,77,"{'lat': 53.348875, 'lng': -6.267459}",OPEN
44,Francis Street,16,14,True,30,False,Dublin,1457386067000,FRANCIS STREET,73,"{'lat': 53.342081, 'lng': -6.275233}",OPEN
45,Greek Street,4,16,False,20,False,Dublin,1457386141000,GREEK STREET,4,"{'lat': 53.346874, 'lng': -6.272976}",OPEN
46,High Street,18,11,True,29,False,Dublin,1457386217000,HIGH STREET,7,"{'lat': 53.343565, 'lng': -6.275071}",OPEN
47,North Circular Road,8,22,True,30,False,Dublin,1457386435000,NORTH CIRCULAR ROAD,60,"{'lat': 53.359624, 'lng': -6.260348}",OPEN
48,Talbot Street,11,29,False,40,False,Dublin,1457386333000,TALBOT STREET,38,"{'lat': 53.350974, 'lng': -6.25294}",OPEN
49,Sir Patrick's Dun,40,0,True,40,False,Dublin,1457386157000,SIR PATRICK DUN'S,58,"{'lat': 53.339218, 'lng': -6.240642}",OPEN
50,New Central Bank,8,32,False,40,False,Dublin,1457386246000,NEW CENTRAL BANK,66,"{'lat': 53.347122, 'lng': -6.234749}",OPEN
51,Georges Quay,20,0,False,20,False,Dublin,1454065289000,GEORGES QUAY,16,"{'lat': 53.347508, 'lng': -6.252192}",CLOSED
52,Mount Brown,2,20,False,22,False,Dublin,1457386158000,MOUNT BROWN,82,"{'lat': 53.341645, 'lng': -6.29719}",OPEN
53,Royal Hospital,11,29,True,40,False,Dublin,1457386384000,ROYAL HOSPITAL,95,"{'lat': 53.343897, 'lng': -6.29706}",OPEN
54,Heuston Station (Central),0,40,False,40,False,Dublin,1457385974000,HEUSTON STATION (CENTRAL),93,"{'lat': 53.346603, 'lng': -6.296924}",OPEN
55,Townsend Street,20,0,False,20,False,Dublin,1457386116000,TOWNSEND STREET,22,"{'lat': 53.345922, 'lng': -6.254614}",OPEN
56,Portobello Harbour,7,23,False,30,False,Dublin,1457386228000,PORTOBELLO HARBOUR,34,"{'lat': 53.330362, 'lng': -6.265163}",OPEN
57,Custom House Quay,26,4,False,30,False,Dublin,1457386043000,CUSTOM HOUSE QUAY,8,"{'lat': 53.347884, 'lng': -6.248048}",OPEN
58,Molesworth Street,20,0,False,20,False,Dublin,1457386278000,MOLESWORTH STREET,27,"{'lat': 53.341288, 'lng': -6.258117}",OPEN
59,Kilmainham Lane,2,28,False,30,False,Dublin,1457386355000,KILMAINHAM LANE,96,"{'lat': 53.341805, 'lng': -6.305085}",OPEN
60,Market Street South,22,16,False,38,False,Dublin,1457386063000,MARKET STREET SOUTH,76,"{'lat': 53.342296, 'lng': -6.287661}",OPEN
61,Kevin Street,40,0,True,40,False,Dublin,1457386265000,KEVIN STREET,71,"{'lat': 53.337757, 'lng': -6.267699}",OPEN
62,Eccles Street East,20,7,False,27,False,Dublin,1457386178000,ECCLES STREET EAST,79,"{'lat': 53.358115, 'lng': -6.265601}",OPEN
63,Grand Canal Dock,35,5,False,40,False,Dublin,1457386459000,GRAND CANAL DOCK,69,"{'lat': 53.342638, 'lng': -6.238695}",OPEN
64,Merrion Square East,30,0,False,30,False,Dublin,1457386255000,MERRION SQUARE EAST,25,"{'lat': 53.339434, 'lng': -6.246548}",OPEN
65,York Street West,40,0,False,40,False,Dublin,1457385953000,YORK STREET WEST,51,"{'lat': 53.339334, 'lng': -6.264699}",OPEN
66,St. Stephen's Green South,30,0,True,30,False,Dublin,1457386040000,ST. STEPHEN'S GREEN SOUTH,37,"{'lat': 53.337494, 'lng': -6.26199}",OPEN
67,Denmark Street Great,18,2,False,20,False,Dublin,1457386233000,DENMARK STREET GREAT,59,"{'lat': 53.35561, 'lng': -6.261397}",OPEN
68,Heuston Station (Car Park),13,27,False,40,False,Dublin,1457386383000,HEUSTON STATION (CAR PARK),94,"{'lat': 53.346985, 'lng': -6.297804}",OPEN
69,St. Stephen's Green East,40,0,True,40,False,Dublin,1457386457000,ST. STEPHEN'S GREEN EAST,36,"{'lat': 53.337824, 'lng': -6.256035}",OPEN
70,Eccles Street,1,19,False,20,False,Dublin,1457385900000,ECCLES STREET,12,"{'lat': 53.359246, 'lng': -6.269779}",OPEN
71,Mater Hospital,9,31,False,40,False,Dublin,1457386043000,MATER HOSPITAL,78,"{'lat': 53.359967, 'lng': -6.264828}",OPEN
72,Blessington Street,7,13,True,20,False,Dublin,1457386219000,BLESSINGTON STREET,2,"{'lat': 53.356769, 'lng': -6.26814}",OPEN
73,Merrion Square West,20,0,True,20,False,Dublin,1457386371000,MERRION SQUARE WEST,26,"{'lat': 53.339764, 'lng': -6.251988}",OPEN
74,Convention Centre,40,0,True,40,False,Dublin,1457386321000,CONVENTION CENTRE,65,"{'lat': 53.34744, 'lng': -6.238523}",OPEN
75,Hardwicke Street,13,3,False,16,False,Dublin,1457386065000,HARDWICKE STREET,15,"{'lat': 53.355473, 'lng': -6.264423}",OPEN
76,Smithfield,0,30,False,30,False,Dublin,1457386334000,SMITHFIELD,35,"{'lat': 53.347692, 'lng': -6.278214}",OPEN
77,Dame Street,16,0,True,16,False,Dublin,1457386082000,DAME STREET,10,"{'lat': 53.344007, 'lng': -6.266802}",OPEN
78,Sandwith Street,27,13,True,40,False,Dublin,1457386256000,SANDWITH STREET,64,"{'lat': 53.345203, 'lng': -6.247163}",OPEN
79,Princes Street / O'Connell Street,12,11,True,23,False,Dublin,1457386376000,PRINCES STREET / O'CONNELL STREET,33,"{'lat': 53.349013, 'lng': -6.260311}",OPEN
80,Grattan Street,23,0,False,23,False,Dublin,1457386108000,GRATTAN STREET,57,"{'lat': 53.339629, 'lng': -6.243778}",OPEN
81,St James Hospital (Luas),3,37,False,40,False,Dublin,1457386268000,ST JAMES HOSPITAL (LUAS),80,"{'lat': 53.341359, 'lng': -6.292951}",OPEN
82,Bolton Street,10,9,False,20,False,Dublin,1457386255000,BOLTON STREET,3,"{'lat': 53.351182, 'lng': -6.269859}",OPEN
83,Strand Street Great,21,14,True,35,False,Dublin,1457385964000,STRAND STREET GREAT,46,"{'lat': 53.347082, 'lng': -6.2641919999999995}",OPEN
84,Barrow Street,8,32,True,40,False,Dublin,1457386407000,BARROW STREET,70,"{'lat': 53.341655, 'lng': -6.236198}",OPEN
85,Mountjoy Square West,4,26,False,30,False,Dublin,1457386340000,MOUNTJOY SQUARE WEST,28,"{'lat': 53.356299, 'lng': -6.258586}",OPEN
86,Wilton Terrace,17,3,True,20,False,Dublin,1457386389000,WILTON TERRACE,39,"{'lat': 53.332383, 'lng': -6.252717}",OPEN
87,Leinster Street South,30,0,False,30,False,Dublin,1457386087000,LEINSTER STREET SOUTH,21,"{'lat': 53.34218, 'lng': -6.254485}",OPEN
88,James Street,22,18,True,40,False,Dublin,1457385979000,JAMES STREET,75,"{'lat': 53.343456, 'lng': -6.287409}",OPEN
89,Parkgate Street,0,38,True,38,False,Dublin,1457386324000,PARKGATE STREET,86,"{'lat': 53.347972, 'lng': -6.291804}",OPEN
90,Heuston Bridge (South),1,24,False,25,False,Dublin,1457386377000,HEUSTON BRIDGE (SOUTH),100,"{'lat': 53.347106, 'lng': -6.292041}",OPEN
91,Cathal Brugha Street,16,3,False,20,False,Dublin,1457386392000,CATHAL BRUGHA STREET,24,"{'lat': 53.352149, 'lng': -6.260533}",OPEN
92,Rothe Abbey,0,35,True,35,False,Dublin,1457386338000,ROTHE ABBEY,85,"{'lat': 53.338776, 'lng': -6.30395}",OPEN
93,Upper Sherrard Street,2,28,False,30,False,Dublin,1457386225000,UPPER SHERRARD STREET,44,"{'lat': 53.358437, 'lng': -6.260641}",OPEN
94,Fitzwilliam Square East,40,0,True,40,False,Dublin,1457386137000,FITZWILLIAM SQUARE EAST,89,"{'lat': 53.335211, 'lng': -6.2509}",OPEN
95,Harcourt Terrace,15,5,False,20,False,Dublin,1457385914000,HARCOURT TERRACE,41,"{'lat': 53.332763, 'lng': -6.257942}",OPEN
96,Jervis Street,21,0,True,21,False,Dublin,1457386054000,JERVIS STREET,40,"{'lat': 53.3483, 'lng': -6.2666509999999995}",OPEN
97,Ormond Quay Upper,17,11,True,29,False,Dublin,1457386396000,ORMOND QUAY UPPER,29,"{'lat': 53.346057, 'lng': -6.268001}",OPEN
98,Emmet Road,2,38,False,40,False,Dublin,1457386235000,EMMET ROAD,83,"{'lat': 53.340714, 'lng': -6.308191}",OPEN
99,Heuston Bridge (North),1,39,False,40,False,Dublin,1457386247000,HEUSTON BRIDGE (NORTH),92,"{'lat': 53.347802, 'lng': -6.292432}",OPEN
100,Blackhall Place,0,30,False,30,False,Dublin,1457386461000,BLACKHALL PLACE,88,"{'lat': 53.3488, 'lng': -6.281637}",OPEN
